compound_id,base_rdkit_smiles,relation_SLC6A2,avg_pKi_SLC6A2,relation_SLC6A3,avg_pKi_SLC6A3,relation_SLC6A4,avg_pKi_SLC6A4
CHEMBL1173533,CCOC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.70000514581687,,8.299989231585883,,8.633324756630712
CHEMBL1173594,FC(F)(F)COC[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.100015437450609,,7.400007822415902,,8.199970640755867
CHEMBL1173595,Clc1ccc([C@]23CCNC[C@@]2(COCC2CC2)C3)cc1Cl,,7.300018268036812,,7.866661015017271,,8.899996638241314
CHEMBL1173607,Clc1ccc([C@@H]2CCNC[C@@]23CCCOC3)cc1Cl,,8.400007822415901,,7.899974269892137,,9.500038134403807
CHEMBL1173751,CCOC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,8.100015437450608,,8.299988937677888,,7.79997073344623
CHEMBL1173752,NC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,6.0999990348465305,,6.599997654072044,,7.0
CHEMBL1173753,CC#CNC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,6.299997602857746,,6.799998134593398,,7.0
CHEMBL1173754,CC(=O)[C@@]12CNCC[C@]1(c1ccc(Cl)c(Cl)c1)C2,,7.79997073344623,,8.400007822415901,,9.0
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,,7.842999027055384,,6.463450805113535,,8.794924096624282
CHEMBL1177,NC1=NC(=O)C(c2ccccc2)O1,,,,6.382789905442566,,
CHEMBL11776,Fc1ccc(C(OC2CC3CCC(C2)N3)c2ccc(F)cc2)cc1,<,5.096910013008056,,,,
CHEMBL1179011,COC(=O)[C@H](c1ccc(Cl)c(Cl)c1)[C@H]1CCCCN1,,,,8.744727494896694,,
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,,5.139841738681722,,5.714217726220605,,5.4770344045080135
CHEMBL118794,CN1CCC(O)(c2ccc(Cl)cc2Cl)C([C@@H](O)c2ccc(Cl)cc2Cl)C1,,,,5.361510743045363,,
CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,,4.69387532926347,,5.191518943434049,,
CHEMBL1196025,COc1cc2c(cc1OC)CN(C)CC2,,3.889747082646597,<,2.0,,4.330683119433888
CHEMBL119605,CNCC[C@H](Oc1cccc2c(O)c(OC)ccc12)c1cccs1,,6.036212172654444,,5.550675906901273,,6.575118363368933
