rdkit_smiles,compound_id,NofA,pKi_mean,pKi_std
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](N)Cc3ccncc3)CC2)cc1,CHEMBL62808,1,5.639999555020353,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)CC2)cc1,CHEMBL312958,1,4.6700000181810175,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)CC2)cc1,CHEMBL63112,1,5.089999741487069,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](Cc3ccncc3)NC(=O)OC(C)(C)C)CC2)cc1,CHEMBL62266,1,5.030000139977383,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](N)C(C)C)CC2)cc1,CHEMBL303369,1,4.779999975777493,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](N)CC(C)C)CC2)cc1,CHEMBL62741,1,4.8399999311187,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](N)CO)CC2)cc1,CHEMBL62660,1,4.3300000383353785,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](N)Cc3ccncc3)CC2)cc1,CHEMBL64321,1,5.480000159330324,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](NC(=O)OC(C)(C)C)C(C)C)CC2)cc1,CHEMBL60598,1,5.480000159330324,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3c[nH]cn3)CC2)cc1,CHEMBL59715,1,6.279997898282849,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3ccc(C)s3)CC2)cc1,CHEMBL60383,1,7.010016541698601,0.40816916496270744
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3ccccc3)CC2)cc1,CHEMBL294519,1,6.540004743952608,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3ccccn3)CC2)cc1,CHEMBL63036,1,6.3799993576999325,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3cccn3C)CC2)cc1,CHEMBL64884,1,7.250031916490598,0.40816916496270744
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3cccnc3)CC2)cc1,CHEMBL418658,1,6.139997578098903,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3ccco3)CC2)cc1,CHEMBL62312,1,6.399996913372259,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3cccs3)CC2)cc1,CHEMBL62726,1,7.130005999878257,0.40816916496270744
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3ccncc3)CC2)cc1,CHEMBL291394,1,6.320000083770781,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3cnccn3)CC2)cc1,CHEMBL62115,1,5.689999562814496,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3cnco3)CC2)cc1,CHEMBL60509,1,5.369999510099088,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3occc3C)CC2)cc1,CHEMBL61396,1,6.9800118404087135,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3sccc3Cl)CC2)cc1,CHEMBL291882,1,7.100015437450608,0.40816916496270744
CCCCCC(=O)c1ccc(OCCCN2CCN(CC(C)C)CC2)cc1,CHEMBL59798,1,6.3399982798971175,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(CC3CC3)CC2)cc1,CHEMBL64253,1,5.650000220873455,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(CCC)CC2)cc1,CHEMBL432144,1,5.470000200122707,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(CCCC)CC2)cc1,CHEMBL64334,1,6.180002266489224,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(Cc3nccs3)CC2)cc1,CHEMBL60360,1,7.219970872662662,0.40816916496270744
CCCCCC(=O)c1ccc(OCCCN2CCN(S(=O)(=O)C(C)C)CC2)cc1,CHEMBL63631,1,4.950000175844591,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(S(=O)(=O)c3ccc(C#N)cc3)CC2)cc1,CHEMBL63632,1,4.869999962200743,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(S(C)(=O)=O)CC2)cc1,CHEMBL431172,1,4.579999998661814,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCNCC2)cc1,CHEMBL302445,1,5.219999701663428,0.18191956447112131
CCCCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,CHEMBL449040,1,6.2500010234416505,0.09566846312511786
CCCCCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,CHEMBL62949,1,6.299997602857746,0.09566846312511786
CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,CHEMBL588119,1,5.606266900170993,0.18191956447112131
CCCCCc1nn(C[C@H]2CCCN2C)c(=O)c2ccccc12,CHEMBL1767153,1,8.79997073344623,0.1639776038099834
CCCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,CHEMBL2146802,1,9.040005161671584,0.11408532748509612
