,chembl,smile,pAct,relationship
638,ALISPORIVIR_CHEMBL1651956,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,5.6,=
639,VERAPAMIL_CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,4.43,=
640,None_CHEMBL3344541,COc1ccc(C(=O)c2sc3nc(C)c(C(C)=O)c(-c4cc(OC)c(OC)c(OC)c4)c3c2N)cc1,5.58,=
641,None_CHEMBL3344542,COC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1ccc(OC)cc1,6.16,=
642,None_CHEMBL3344543,COC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1ccc(OC)c(OC)c1,5.44,=
643,None_CHEMBL3342110,COC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3OC)c(N)c2c1-c1ccc(OC)c(OC)c1,5.39,=
644,None_CHEMBL3342113,CCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1ccc(OC)cc1,6.4,=
645,None_CHEMBL3342116,CCOC(=O)c1c(C)nc2sc(C(=O)c3ccccc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,5.82,=
646,None_CHEMBL3342117,CCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,6.16,=
647,None_CHEMBL3342118,CCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3OC)c(N)c2c1-c1cc(OC)c(OC)c(OC)c1,5.58,=
648,None_CHEMBL3342119,CCOC(=O)c1c(C)nc2sc(C(=O)c3ccc(OC)cc3)c(N)c2c1-c1ccc(OCC)cc1,5.89,=
