molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pKi
CHEMBL4516982,CCOCCn1cc(C(=O)Nc2ccc(-n3nc(-c4cccnc4)cc3C(F)(F)F)cn2)ccc1=O,Ki,,5011.87,nM,,498.47,CHEMBL4507283,5.300000202445418
CHEMBL4558518,CC(C)(C)OC(=O)N1CCCC1CNC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,Ki,,10000.0,nM,,569.11,CHEMBL4507288,5.0
CHEMBL2386163,COc1ccc(O[C@@H](CC(C)C)[C@H]2CCNC2)c(C)n1.O=C(O)C(O)C(O)C(=O)O,Ki,'=',354.0,nM,6.45,428.48,CHEMBL2384999,6.450996737974212
CHEMBL202055,CCCC(C(O)c1ccc(C)cc1)N1CCCC1,Ki,'<',10000.0,nM,,247.38,CHEMBL1138144,5.0
CHEMBL202348,C=CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,Ki,'=',39.9,nM,7.4,298.21,CHEMBL1138144,7.399027104313252
CHEMBL204530,O=C(O)C(=O)O.O[C@H](Cc1ccccc1)CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,'=',1.7,nM,8.77,555.62,CHEMBL1138151,8.769551078621726
CHEMBL4514672,CC1=NC2(CCN(C)CC2)C(=O)N(c2c(C)cccc2C)C1=O,Ki,'=',2562.0,nM,5.59,313.40,CHEMBL4422623,5.591420874591332
CHEMBL384199,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CCCO)cc(C(C)=O)c1,Ki,'=',609.0,nM,6.21,511.64,CHEMBL1139680,6.215382707367125
CHEMBL218174,CC(=O)c1cccc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C)c1,Ki,'=',96.0,nM,7.02,425.55,CHEMBL1139680,7.017728766960431
CHEMBL326466,CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,Ki,'=',25.0,nM,7.6,279.43,CHEMBL1136239,7.6020599913279625
CHEMBL324269,CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2cc(F)ccc2c1,Ki,'=',50.0,nM,7.3,297.42,CHEMBL1136239,7.301029995663981
CHEMBL403571,O=C(OCc1cccs1)C1=C(c2ccc(Cl)c(Cl)c2)CCC1,Ki,'=',400.0,nM,6.4,353.27,CHEMBL1140483,6.3979400086720375
CHEMBL219653,Clc1ccc(C(CC2CCCC2)C2CCCCN2)cc1,Ki,'=',9.4,nM,8.03,291.87,CHEMBL1139231,8.0268721464003
CHEMBL218999,CC(C)CC(c1ccc(Cl)c(Cl)c1)C1CCCCN1,Ki,'=',1.0,nM,9.0,300.27,CHEMBL1139231,9.0
CHEMBL219649,CCCC(c1ccc(Cl)c(Cl)c1)C1CCCCN1,Ki,'=',0.97,nM,9.01,286.25,CHEMBL1139231,9.013228265733755
CHEMBL272002,COC(=O)c1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,'<',3000.0,nM,,327.38,CHEMBL1142380,5.522878745280337
CHEMBL4454100,CCCCCCCCCCC[C@@H]1CCN[C@H](C(=O)NCC(O)CO)C1,Ki,'=',1800.0,nM,5.75,356.55,CHEMBL4308830,5.7447274948966935
CHEMBL411263,FCCOc1ccccc1S[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,'<',10000.0,nM,,347.46,CHEMBL1142380,5.0
CHEMBL4640372,OC(CN1CCC2(CCN(CCSC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)C1)c1ccccc1,Ki,'=',268.0,nM,6.57,522.71,CHEMBL4613215,6.5718652059712115
CHEMBL4063478,CCOC(=O)[C@@H]1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C[C@H](N)C(C)C,Ki,'=',1050.0,nM,5.98,486.60,CHEMBL4024774,5.978810700930062
CHEMBL4539105,CN(CCOc1cc(COc2ccccc2)on1)CC1CC1.Cl,Ki,'<',10000.0,nM,,338.84,CHEMBL4425114,5.0
CHEMBL2170610,CC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,Ki,,1523.0,nM,,356.35,CHEMBL4507279,5.817300096663957
CHEMBL4224830,Clc1ccc(C2CCNCC23CCOCC3)cc1Cl,Ki,'=',12.59,nM,7.9,300.23,CHEMBL4219032,7.899974269892137
CHEMBL201960,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,Ki,'=',21.4,nM,7.67,245.37,CHEMBL1138144,7.669586226650809
