compound_id,base_rdkit_smiles,relation_kcna5,avg_pIC50_kcna5,relation_kcna3,avg_pIC50_kcna3,relation_scn5a,avg_pIC50_scn5a
CHEMBL2440404,CCCCOc1ccc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)OC)cc1,,5.07727454200674,,,,
CHEMBL343456,O=C(NC1CCCCC1)c1cccc2cccc(NS(=O)(=O)c3ccc(Cl)cc3)c12,,5.022276394711152,,,,
CHEMBL1088805,OC(Cc1ccccc1)(c1cccnc1)c1cccnc1,,5.148313684557572,,,,
CHEMBL604134,CC1=C(C(=O)N2CCC[C@H]2c2n[nH]c(=O)n2C)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,>,6.0,,,,
CHEMBL3262828,Cc1ccc(OCCN2CCN(CC(=O)Nc3nccs3)CC2)c(C)c1,,4.7654827164873135,,,,
CHEMBL4105373,CS(=O)(=O)Nc1cccc(-c2cc(F)ccc2CC(c2cccnc2)c2cccnc2)c1,,6.2373214362725635,,,,
CHEMBL3262798,Cc1ccc(OCCN2CCN(C(=O)c3cccs3)CC2)cc1,,5.818156412055227,,,,
CHEMBL385641,Cc1ccc(C2SCC(=O)N2OCc2ccccc2)cc1C,,6.684029654543083,,,,
CHEMBL567234,COC(=O)c1ccc2c(c1)nc(C1=C(C)Nc3ccnn3C1c1ccc(Cl)c(Cl)c1)n2C,,6.698970004336019,,,,
CHEMBL4468664,c1ccc([C@@H]([C@H](c2ccccn2)N2CCCCC2)N2CCCCC2)nc1,,5.318758762624412,,,,
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,,5.136677139879544,,,,4.970521410611345
CHEMBL3902378,Cn1c(=O)ccc2cc(OCCCN(CCc3ccccn3)Cc3ccncc3)ccc21,,5.200659450546418,,,,
CHEMBL217828,COc1ccccc1CON1C(=O)CSC1c1ccc(Cl)c(Cl)c1,,6.690369832574102,,,,
CHEMBL3127417,N#Cc1ccc(S(=O)(=O)N(Cc2ccc(F)cc2)C[C@@H]2CCC(=O)N2)cc1,>,4.522878745280337,,,,
CHEMBL4098469,N#Cc1cccc(-c2cccc(Cl)c2CC(c2cccnc2)c2cccnc2)c1,,5.5428753736965914,,,,
CHEMBL2332456,COc1ccccc1-n1ncnc1C1=C(C)Nc2ccnn2[C@@H]1c1ccc(Cl)c(Cl)c1,,6.935542010773082,,,,
CHEMBL4438854,c1ccc([C@H]([C@@H](c2ccccn2)N2CCCCC2)N2CCCCC2)nc1,,5.657577319177793,,,,
CHEMBL3298140,COc1cccc2onc(NCC(C)(C)c3ccccc3)c12,,7.366531544420414,,,,
CHEMBL389891,CCc1ccc(S(=O)(=O)N[C@H]2c3cc(C(=O)N4CCC[C@H]4CNc4c(C)cccc4C)ccc3OC(C)(C)[C@@H]2O)cc1,,6.585026652029182,,,,
CHEMBL258719,CCc1ccc(S(=O)(=O)N[C@@H]2c3cc(C(=O)N(CC)Cc4ccc(C)cc4)cnc3OC(C)(C)[C@H]2O)cc1,,5.806875401645538,,,,
CHEMBL465939,CC1=C(C(=O)N2CCN(c3ccc(F)cc3)CC2)C(c2ccc(Cl)cc2)n2nccc2N1,,6.356547323513812,,,,
CHEMBL3787069,CC(C)(C)NC(=O)C1c2ccc(O)cc2C(=O)N1Cc1ccccc1-c1ccccc1,,5.118435811600431,,,,
CHEMBL2440384,Cc1ccc(S(=O)(=O)N/N=C/c2cn(CC(=O)Nc3ccc(F)cc3F)c3ccccc23)cc1,,6.6020599913279625,,,,
CHEMBL2440400,Cc1ccc(S(=O)(=O)N/N=C/c2cn(CC(=O)Nc3cc(C)ccc3C)c3ccccc23)cc1,,5.752026733638194,,,,
CHEMBL602854,CC1=C(C(=O)N2CCC[C@H]2c2cc(C)on2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,7.0460769239580365,,,,
CHEMBL1290172,CN1CCCCC1C(=O)NCC(C)(C)CN(C1=NS(=O)(=O)c2cc(F)ccc21)c1ccccc1,,5.540607512240769,,5.468521082957745,,
CHEMBL3261431,Nc1nc(/C=C/CNC(=O)c2cc3cc(F)ccc3[nH]2)c[nH]1,>,4.522878745280337,,4.853871964321762,,
CHEMBL3786303,CC(C)(C)NC(=O)C1c2ccccc2C(=O)N1Cc1ccccc1-c1ccc(F)cc1,,5.221848749616356,,,,
CHEMBL217800,Cc1[nH]c2c(c1C)/C(=N/NC(=O)Nc1ccc(Cl)cc1)CCC2,,6.431798275933005,,,,
CHEMBL4450583,Fc1ccc(-c2cccc3nc(-c4cncnc4)nc(NCc4ccccn4)c23)cc1,,6.6020599913279625,,,,
CHEMBL2331983,CC1=C(c2ncnn2C2CCC(C(F)(F)F)CC2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C(F)(F)F)cc2N1,,6.546479833978829,,,,
CHEMBL4060189,CS(=O)(=O)Nc1cccc(-c2cc(F)ccc2CC(c2cccnc2)c2cccnc2)n1,,5.79805693659835,,,,
CHEMBL2042159,CC1=C(C(=O)N2CCC[C@H]2c2cc(C)no2)[C@@H](c2ccc(Cl)c(Cl)c2)n2nc(C3CC3)cc2N1,,6.6439741428068775,,,,
CHEMBL583857,CC1=C(c2nc3cccc(C)c3[nH]2)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,,6.823908740944319,,,,
CHEMBL3729169,CN(CCN(CCCOc1ccc2c(c1)N(C)C(=O)C(C)(C)C(=O)N2C)Cc1ccncc1)C(=O)c1ccccc1,,6.161150909262744,,,,
CHEMBL3967653,CCN1C(=O)C(C)(C)C(=O)N(C)c2cc(CN(CCn3ccc4oc(C)cc4c3=O)Cc3cccnc3COC)ccc21,,6.200659450546418,,,,
CHEMBL147962,CN(C)CC(C)(C)CNC(=O)c1ccccc1-c1ccccc1CNC(=O)OCc1ccccc1,,5.657577319177793,,,,
CHEMBL2331985,CCCn1ncnc1C1=C(C)Nc2ccnn2[C@@H]1c1ccc(Cl)c(Cl)c1,,6.991399828238082,,,,
CHEMBL520586,COC[C@@H]1CCCN1C(=O)C1=C(C)Nc2ccnn2C1c1ccc(Cl)c(Cl)c1,,6.698970004336019,,,,
CHEMBL3262808,COc1ccc(C(=O)N2CCN(CCOc3ccccc3)CC2)cc1,,4.793984123236656,,,,
