compound_id,base_rdkit_smiles,relation,avg_pKi
CHEMBL1080787,CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,,8.221848749616356
CHEMBL1078073,CC(C)CN(C(=O)c1cccc(Cl)c1F)[C@H]1CCNC1,,8.0
CHEMBL1078074,CC(C)CN(C(=O)c1cccc(F)c1C(F)(F)F)[C@H]1CCNC1,,7.6020599913279625
CHEMBL1078164,CC(C)CN(C(=O)c1cccc(F)c1Cl)[C@H]1CCNC1,,7.823908740944319
CHEMBL564071,CC(C)CN(C(=O)c1ccccc1-c1ccccc1)[C@H]1CCNC1,,6.184422251675732
CHEMBL1078169,CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,,5.87942606879415
CHEMBL558651,CC(C)CN(C(=O)c1ccccc1Oc1ccccc1)[C@H]1CCNC1,,6.795880017344075
CHEMBL594219,CC(C)CN(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3c(c2C1)C(=O)NC3,,6.209714835966758
CHEMBL594807,CC(C)CN(CCCc1c[nH]c2ccc(F)cc12)C1COc2ccc3c(c2C1)C(=O)NCC3,,6.735182176990463
CHEMBL379699,CC(C)CN(Cc1c(F)cccc1C(F)(F)F)C1CCNCC1,,8.387216143280265
CHEMBL378839,CC(C)CN(Cc1cc(C(F)(F)F)ccc1Cl)C1CCNCC1,,8.017728766960431
CHEMBL208535,CC(C)CN(Cc1cc(Cl)ccc1Cl)C1CCNCC1,,8.67778070526608
CHEMBL208252,CC(C)CN(Cc1cc(F)ccc1C(F)(F)F)C1CCNCC1,,8.102372908709558
CHEMBL382001,CC(C)CN(Cc1ccc(C#N)cc1)C1CCNCC1,,9.55284196865778
CHEMBL206580,CC(C)CN(Cc1ccc(C(F)(F)F)cc1)C1CCNCC1,,10.154901959985743
CHEMBL208232,CC(C)CN(Cc1ccc(C(F)(F)F)cc1F)C1CCNCC1,,8.236572006437063
CHEMBL207860,CC(C)CN(Cc1ccc(Cl)cc1Cl)C1CCNCC1,,9.017728766960431
CHEMBL207719,CC(C)CN(Cc1ccc(F)cc1)C1CCNCC1,,8.721246399047171
CHEMBL441358,CC(C)CN(Cc1ccc(F)cc1C(F)(F)F)C1CCNCC1,,9.522878745280337
CHEMBL207807,CC(C)CN(Cc1ccc(F)cc1F)C1CCNCC1,,8.508638306165727
CHEMBL425589,CC(C)CN(Cc1cccc(C#N)c1)C1CCNCC1,,9.318758762624412
CHEMBL381373,CC(C)CN(Cc1cccc(C(F)(F)F)c1)C1CCNCC1,,9.585026652029182
CHEMBL208533,CC(C)CN(Cc1cccc(C(F)(F)F)c1Cl)C1CCNCC1,,9.318758762624412
CHEMBL207837,CC(C)CN(Cc1ccccc1)C1CCNCC1,,8.075720713938118
CHEMBL207407,CC(C)CN(Cc1ccccc1C#N)C1CCNCC1,,8.920818753952375
CHEMBL380890,CC(C)CN(Cc1ccccc1C(F)(F)F)C1CCNCC1,,8.853871964321762
CHEMBL208251,CC(C)CN(Cc1ccccc1Cl)C1CCNCC1,,8.795880017344075
CHEMBL207914,CC(C)CN(Cc1ccccc1OC(F)(F)F)C1CCNCC1,,8.657577319177793
